facility_name,specialty,procedures,equipment,capability,is_suspicious,suspicion_reason,unique_id
Accra Psychiatric Hospital,internalMedicine,"['OPD services', '24hr Emergency care', 'in-patients services', 'Clinical Psychology services', 'Electro Convulsive Therapy', 'Laboratory Services', '24 hr Pharmacy', 'Social Work Services', 'Community Psychiatry Nursing Services', 'drug treatment & Rehab', 'occupational therapy services']","['Laboratory equipment', 'Pharmacy equipment']","['24hr Emergency care', 'in-patients services', 'Clinical Psychology services', 'Electro Convulsive Therapy', 'Laboratory Services', '24 hr Pharmacy', 'Social Work Services', 'Community Psychiatry Nursing Services', 'drug treatment & Rehab', 'occupational therapy services']",True,Facility claims to be a large medical center/hospital but provides no evidence of critical infrastructure (Oxygen/Power).,72551c75-afcb-4c7f-b6b4-d5a35c72def4
Accra Psychiatric Hospital,internalMedicine,[],[],[],True,Facility claims to be a large medical center/hospital but provides no evidence of critical infrastructure (Oxygen/Power).,29a28abb-5523-42f0-9079-3d796517df35
Accra Specialist Eye Hospital,ophthalmology,"['advanced laser and cataract surgeries', 'comprehensive clinical and diagnostic services']",[],"['Opening hours: Mon–Fri 8am–5pm; Sat 8:30am–1:30pm; Sun closed', 'Voted Best Eye Hospital in Ghana', 'Founded and managed under the guidance of Dr. Asiwome Kwesi Seneadza', 'Staff includes ophthalmologists, surgeons, and eye care professionals', 'Has insurance partnerships with leading providers']",True,Facility claims to be a large medical center/hospital but provides no evidence of critical infrastructure (Oxygen/Power).,e88bc1ec-d694-4eae-a751-bf2dd7452bce
Accra Specialist Eye Hospital,ophthalmology,[],[],['Eye hospital specializing in ophthalmology'],True,Facility claims to be a large medical center/hospital but provides no evidence of critical infrastructure (Oxygen/Power).,e217ce16-b379-4d49-892c-760cc5f6957e
ACHIASE HEALTH CENTRE,internalMedicine,[],[],[],True,Facility claims to be a large medical center/hospital but provides no evidence of critical infrastructure (Oxygen/Power).,fd787501-bc4d-4fd5-b7c6-44d749bf4bf1
Achimota Hospital,internalMedicine,[],[],[],True,Facility claims to be a large medical center/hospital but provides no evidence of critical infrastructure (Oxygen/Power).,78e8535a-039f-4950-a241-433b946f166b
Acrecity Medics,internalMedicine,"['GP & Specialist Clinics', 'Diagnostics', 'Travel & Immunisation', 'Dispensary', 'Medical Tourism', 'Healthcare Events', 'Obstetrics & Gynaecology', 'Paediatrics', 'ENT', 'Clinical Psychology', 'Ophthalmology', 'Dermatology', 'Dietetics']",[],"['Location: Suite G05 Nester Square, Airport City, Accra, Ghana', 'Serves Airport City and the Greater Accra Metropolis', 'Offers GP & Specialist Clinics; Diagnostics; Travel & Immunisation; Dispensary; Medical Tourism; Healthcare Events', 'Specialist clinics include Obstetrics & Gynaecology, Paediatrics, ENT, Internal Medicine, Clinical Psychology, Ophthalmology, Dermatology, and Dietetics', 'In-house pharmacists provide complimentary tailored medication consultations and drug interaction checks', 'On-site dispensary available']",False,,87c463b8-0f1e-410a-bd84-50b2ee306e4f
Acres Medical Centre,familyMedicine,['pediatric consultations'],[],"['Identified as a primary hospital', 'Offers pediatric consultations']",True,Facility claims to be a large medical center/hospital but provides no evidence of critical infrastructure (Oxygen/Power).,07629c3c-cdae-4f1c-b585-dbd634fdd60f
Adabraka Polyclinic (Ridge Hospital OPD),internalMedicine,[],[],[],True,Facility claims to be a large medical center/hospital but provides no evidence of critical infrastructure (Oxygen/Power).,86342b7f-6a91-4502-85a3-a08ae0a33341
Adansi Comunity Clinic,familyMedicine,['General'],[],"['Type: Health Centre', 'Ownership: Government', 'Location: C/O P.O.BOX 48, DABOASE', 'Services: General', 'NHIS accredited: yes']",False,,afcb00e7-49e4-42ca-a50c-816851f6b2ab
Adenta Clinic,familyMedicine,[],[],[],False,,c3c7b363-afe5-46e7-812f-bdcec280d647
Adidome Government Hospital,internalMedicine,[],[],[],True,Facility claims to be a large medical center/hospital but provides no evidence of critical infrastructure (Oxygen/Power).,478835f8-37b7-4701-8175-1abb78990632
Adidome Government Hospital,internalMedicine,[],[],[],True,Facility claims to be a large medical center/hospital but provides no evidence of critical infrastructure (Oxygen/Power).,a6673079-19e9-4ea0-8bbc-12ac4da84a2d
Adiebeba Specialist Hospital,internalMedicine,"['Eye Care', 'Cervical Cancer', 'Breast Care', 'Mental Health', 'Laboratory', 'Surgery', 'Urology', 'Emergency', 'USG and ECG Services', 'Obstetrics and Gynecology', 'Pharmacy', 'Pediatrics']","['USG', 'ECG']","['Open 24/7 with a 24-hour emergency department', 'Available seven days a week with around-the-clock operations']",True,Facility claims to be a large medical center/hospital but provides no evidence of critical infrastructure (Oxygen/Power).,f3e4ebce-5a05-41cb-b36a-f8ec3e793392
"Adiebebahospital - No. 4 Melcom road, Ahodwo, Ghana",internalMedicine,['child welfare clinic'],[],['child welfare clinic'],True,Facility claims to be a large medical center/hospital but provides no evidence of critical infrastructure (Oxygen/Power).,84c3b0d9-dbb4-4a6e-8337-880ecf8f9c27
Adjoum Community Clinic,familyMedicine,[],[],[],False,,e21a91aa-3a45-43e6-affb-136125afbf3e
Adum Banso Community Clinic,generalSurgery,[],[],"['Type: Health Centre', 'Ownership: Government', 'Location: ADUM BANSO C/O P.O.BOX 48, DABOASE', 'NHIS accredited: yes', 'Services: General']",False,,07a14429-5150-4ec0-9963-c656db3707f6
Adumkrom PHC Clinic,familyMedicine,[],[],[],False,,9ad67bdf-839a-49b0-92e0-eaaf9d34e3bc
Advocate Healthcare,generalSurgery,"['Offers General Medical and Dental services', 'Has an in-house Dental Lab', 'Has an in-house Medical Lab', 'Has an on-site Pharmacy']",[],"['Offers General Medical and Dental services', 'Has an in-house Dental Lab', 'Has an in-house Medical Lab', 'Has an on-site Pharmacy']",False,,a6f82eb9-00b8-430c-8314-bde14e1bf449
Afamaso Maternity Home,gynecologyAndObstetrics,[],[],[],False,,32644cb2-dda9-4e4c-89a0-86223d1eac9c
Aframso Health Centre,internalMedicine,[],[],[],True,Facility claims to be a large medical center/hospital but provides no evidence of critical infrastructure (Oxygen/Power).,4e7dfdbc-d976-473c-9f09-e876a47843ad
"African Vision Clinic - Adenta Housing down, Accra, Ghana",gynecologyAndObstetrics,"['Health & Medical Services', 'Alternative Medicines', 'Medical Supply & Engineering Services', 'Maternity Clinic']",[],"['Always open', 'Offers Health & Medical Services, Alternative Medicines, and Medical Supply & Engineering Services', 'Has a maternity clinic']",False,,acc224db-1e5f-42b3-8a38-28fa930406ea
AG CARE Ghana,internalMedicine,[],[],[],False,,62dcbf0c-8cc6-4fda-819f-825022b29bcc
Agogo Hospital,familyMedicine,[],[],[],True,Facility claims to be a large medical center/hospital but provides no evidence of critical infrastructure (Oxygen/Power).,b6f22662-b83b-49f0-b269-3e669cbd5ba8
"Agogo Presbyterian Hospital, Asante Akim North, Agogo",internalMedicine,[],[],"['Established on 21 March 1931.', 'Oldest Mission Hospital in Ghana.', 'Also known as PREHA.', 'Ranks second to Komfo Anokye Teaching Hospital in terms of performance outputs in the Ashanti Region.', 'Operates 24/7.']",True,Facility claims to be a large medical center/hospital but provides no evidence of critical infrastructure (Oxygen/Power).,30eee581-f793-4189-a10d-9fec4103ec9c
Agyakwa Hospital,internalMedicine,[],[],[],True,Facility claims to be a large medical center/hospital but provides no evidence of critical infrastructure (Oxygen/Power).,00c68756-f092-4a43-8cec-b5237004d570
Agyakwa Hospital - Nkawkaw,internalMedicine,[],[],[],True,Facility claims to be a large medical center/hospital but provides no evidence of critical infrastructure (Oxygen/Power).,7eb831df-30e6-4213-bd38-b53a9d71e133
Ahenema Kokoben Health Centre,internalMedicine,[],[],[],True,Facility claims to be a large medical center/hospital but provides no evidence of critical infrastructure (Oxygen/Power).,806356e2-8046-4b47-973d-0a6bcc008b4e
Ahmadiyya Muslim Hospital Asokore Ashanti,internalMedicine,[],[],[],True,Facility claims to be a large medical center/hospital but provides no evidence of critical infrastructure (Oxygen/Power).,fd11b0e3-bc45-4008-90a6-a982aab3987e
"Ahmadiyya Muslim Hospital, Techiman",internalMedicine,"['Provides primary health care services', 'Has Laboratory Unit', 'Has Theatre Unit', 'Has Maternity Unit', 'Has Male and Female Ward', ""Has Children's Ward"", 'Has Emergency Ward', 'Has OPD Unit', 'Has Account / Claims Unit', 'Has Administration Unit', 'Has Health Information Unit', 'Has Pharmacy Unit', 'Has Transport Unit', 'Has Security Unit', 'Has ART and HIV Unit']","['Has Laboratory Unit', 'Has Theatre Unit']","['Has 100-bed capacity', 'Operates 24 hours daily', 'Member of Ahmadiyya Muslim Health Service, Ghana', 'Has Laboratory Unit', 'Has Theatre Unit', 'Has Maternity Unit', 'Has OPD Unit', 'Has Account / Claims Unit', 'Has Administration Unit', 'Has Health Information Unit', 'Has Pharmacy Unit', 'Has Transport Unit', 'Has Security Unit', 'Has ART and HIV Unit']",True,Facility claims to be a large medical center/hospital but provides no evidence of critical infrastructure (Oxygen/Power).,2cc3adeb-039a-4a07-9998-6c5803fe9b4e
"Ahmadiyya Muslim Hospital, Techiman",internalMedicine,[],[],[],True,Facility claims to be a large medical center/hospital but provides no evidence of critical infrastructure (Oxygen/Power).,2fbdd949-fe72-4797-b78b-6af302463542
Ahmadiyya Muslim Mission Hospital,internalMedicine,[],[],[],True,Facility claims to be a large medical center/hospital but provides no evidence of critical infrastructure (Oxygen/Power).,adf7cd83-c9ac-4502-af45-beae1b774582
AIH lab & X-ray Center,internalMedicine,"['Medical lab tests', 'X-rays', 'Ultrasound Scans']",[],['Diagnostic Center'],False,,1854b748-b32c-457c-8f2d-f1241b3868f2
Airport Women’s Hospital,gynecologyAndObstetrics,"['Paediatric Clinic', 'Child Welfare Clinic']",[],[],True,Facility claims to be a large medical center/hospital but provides no evidence of critical infrastructure (Oxygen/Power).,f16a7314-3593-48fd-84d4-a4f25196abc7
Aisha Hospital,internalMedicine,"['VIP department provides comprehensive and advanced care for VIP patients', 'Emergency care services including pre-hospital care and standby cover at mass gatherings', 'Direct insurance billing with major international providers', 'Diagnostic & Imaging Department provides imaging services', 'Renal and Dialysis Center available as a hospital department', 'General Medical Services', 'Surgical Department', 'Obstetrics & Gynecology', 'Ophthalmic and Eye Care', 'Stomatology (Dental Care)', 'Renal & Dialysis Center', 'ENT Department', 'Diagnostic & Imaging Department', 'Anesthesia Department']","['imaging machines', 'lab tools']","['VIP department', 'Emergency care services', 'Direct insurance billing', 'Diagnostic & Imaging Department', 'Renal and Dialysis Center', 'General Medical Services', 'Surgical Department', 'Obstetrics & Gynecology', 'Ophthalmic and Eye Care', 'Stomatology (Dental Care)', 'ENT Department', 'Anesthesia Department']",True,Facility claims to be a large medical center/hospital but provides no evidence of critical infrastructure (Oxygen/Power).,04444937-e92a-4cde-a5eb-e52753fb9926
Ajumako Hospital,internalMedicine,[],[],[],True,Facility claims to be a large medical center/hospital but provides no evidence of critical infrastructure (Oxygen/Power).,1bd41ae7-6eb3-40e1-bb22-7013a7967a24
Akan Herbal Treatment Center,internalMedicine,['Offers traditional herbal medicine'],[],"['Is a herbal clinic offering traditional herbal medicine', 'Provides house-to-house service within Accra', 'Is always open']",False,,0bd57053-30a9-4ab1-994c-f415f657c88b
Akatsi South Municipal Hospital,generalSurgery,"['mental health services', 'maternal & child health', 'out-patient (OPD) services', 'inpatient services', 'laboratory services', 'pharmacy & dispensary services', 'ART services', 'public health services']","['Dental', 'ENT', 'Eye', 'Diabetes/Hypertension (DM/HPT) clinic', 'wellness clinic', 'breast and cervical screening units']","['Open 24 hours a day, 7 days a week', 'Mental health services are provided', 'Maternal and child health services are provided', 'Out-patient (OPD) services are provided', 'Inpatient services are provided', 'Laboratory services are provided', 'Pharmacy and dispensing services are provided', 'ART services are provided', 'Public health services are provided', 'Specialized units include Dental, ENT and Eye', 'Diabetes/Hypertension (DM/HPT) clinic is available', 'Wellness clinic is available', 'Breast and cervical screening units are available', 'Upgraded to Municipal status in 2021']",True,Facility claims to be a large medical center/hospital but provides no evidence of critical infrastructure (Oxygen/Power).,8e37b57f-9876-4aa8-9123-3ee6230318ae
Akcess Dental,dentistry,['general dentistry services'],[],"['Provides general dentistry services', 'Currently closed']",False,,66ad8822-9eef-4ce9-bb65-04959777429c
Akcess Dental,dentistry,[],[],[],False,,3e525899-21cb-480f-859c-01aa159f3fb6
AKOMADE CLINIC,familyMedicine,[],[],[],False,,0e9926c2-0ecc-487f-b5a9-cfcdaa1260ad
Akora Health Care,internalMedicine,[],[],[],False,,dbf2b85c-9d75-4507-b866-f7b0a6deccbc
Akrofrom Health Centre - Ghana,internalMedicine,[],[],[],True,Facility claims to be a large medical center/hospital but provides no evidence of critical infrastructure (Oxygen/Power).,0643b69b-fb41-4fc5-b68e-2f7ae8cbd5a6
Akwamuman Herbal Clinic,familyMedicine,[],[],"['Operates as a specialized herbal clinic', 'Treats all kinds and forms of diseases', 'Always open']",False,,684d8bfd-f582-4ef4-9817-4bdd58e09a09
Al-Ayar Hospital,internalMedicine,[],[],[],True,Facility claims to be a large medical center/hospital but provides no evidence of critical infrastructure (Oxygen/Power).,e75a370a-8c4b-4aa5-9866-c6ac73e44dbb
Al-haq Herbal Center,familyMedicine,[],[],[],False,,54ea35a8-47a9-47a0-b66b-bd2bde654bcd
Alhaji Nuhu Memorial Healthcare Centre,emergencyMedicine,"['emergency services', 'outpatient care', 'inpatient care', 'diagnostic imaging', 'laboratory services', 'maternity services', 'mental health services', 'family planning services', 'wound care']","['diagnostic imaging machines', 'lab tools']","['emergency services', 'outpatient care', 'inpatient care', 'diagnostic imaging services', 'laboratory services']",True,Facility claims to be a large medical center/hospital but provides no evidence of critical infrastructure (Oxygen/Power).,a266d56e-cbbe-4f2f-a14b-fdda19d79170
Alice Memorial Maternity Clinic - Ghana,gynecologyAndObstetrics,[],[],[],False,,1e6a0497-49a1-4755-b630-be6bbffb36f3
All Joy Dental Clinic,dentistry,[],[],[],False,,5c61273b-7aba-4405-ba39-4d98dee332ee
All Smile Dental & Paediatric Centre,dentistry,[],[],[],True,Facility claims to be a large medical center/hospital but provides no evidence of critical infrastructure (Oxygen/Power).,09723e74-3d0b-4131-963f-58d8560b742c
All Smile Dental Clinic Dansoman Branch,dentistry,"['dental care', 'preventive services', 'curative services']",[],"['paediatric dentistry', 'certified dentists on staff']",False,,7946530c-26d5-4991-a403-135b4962f14b
Allen Health Clinic - Ghana,internalMedicine,[],[],[],False,,9035717d-5a88-4bc0-a414-e3746116f695
Allied Specialist Hospital,internalMedicine,[],[],[],True,Facility claims to be a large medical center/hospital but provides no evidence of critical infrastructure (Oxygen/Power).,60587b4c-bcfe-4634-a0b8-cd620c099e4c
Alma Medical Laboratory,internalMedicine,"['Pathology', 'Radiology', 'Doctor Consultation']",[],"['Provides Pathology, Radiology, and Doctor Consultation services', 'Offers home collection of lab tests with phlebotomist', 'Over 1,000,000 patients have trusted Alma Medical Laboratory', 'Offers over 4,000 tests/services', 'Emergency contact numbers: 0556 373005 and 0308 249465']",False,,cfce8229-0819-4632-a7e0-facfd481b05a
Alma Medical Laboratory,internalMedicine,[],[],[],False,,828ccae8-e21d-45f3-9678-64274dc78399
Alpha Medical Diagnostic Services,internalMedicine,[],[],[],False,,c036e222-e6d3-483b-a796-87cf2cafba3b
Ama Dansowaa Maternity Home,gynecologyAndObstetrics,"['antenatal', 'post-natal']",[],['maternity home'],False,,233281fa-d166-4f00-b433-2358367a5251
Amang Health Centre,internalMedicine,"['Treats all kinds of medical health challenges', 'Provides health consultation services']",[],"['Treats all kinds of medical health challenges', 'Provides health consultation services']",True,Facility claims to be a large medical center/hospital but provides no evidence of critical infrastructure (Oxygen/Power).,3a285737-880b-49fe-903b-89f4991eb4af
Amantenaman Health Centre,internalMedicine,[],[],[],True,Facility claims to be a large medical center/hospital but provides no evidence of critical infrastructure (Oxygen/Power).,21543283-64fa-4a08-a2d5-db985516d3b8
Amasaman Hospital,internalMedicine,[],[],[],True,Facility claims to be a large medical center/hospital but provides no evidence of critical infrastructure (Oxygen/Power).,4840f819-7201-4211-939b-75c1a601e193
Amen Scientific Herbal Hospital,internalMedicine,[],[],[],True,Facility claims to be a large medical center/hospital but provides no evidence of critical infrastructure (Oxygen/Power).,bb80125e-79fa-40e7-b249-9a633ae50c40
Amen Scientific Herbal Hospital – Klagon Branch,internalMedicine,"['phytotherapy', 'naturopathy', 'homeopathy']",[],"['Specializes in stroke, fertility and chronic diseases', 'Staffing includes dedicated skilled professionals']",True,Facility claims to be a large medical center/hospital but provides no evidence of critical infrastructure (Oxygen/Power).,04236922-57d2-410e-a332-8ae1ad0ff5b6
American International Hospital,internalMedicine,"['medical lab tests', 'X-rays', 'ultrasound scans']","['lab tools', 'X-ray']",['Diagnostic Center'],True,Facility claims to be a large medical center/hospital but provides no evidence of critical infrastructure (Oxygen/Power).,ac1198ad-1306-4eb6-b63c-119ee96244e2
American_Rejuvenation Clinic,familyMedicine,"['general health', 'anti-aging', 'preventive health', 'health management', 'hormone replacement']",[],[],False,,36587029-05bf-44bc-9f9b-1951b98c75b2
Anane Aya Maternity Home,gynecologyAndObstetrics,[],[],[],False,,82cc8e0a-c2a3-4f05-ad4f-e841957d25e1
Aneeja Hospital,internalMedicine,"['Emergency services', 'In-Vitro Fertilization (IVF)', 'Delivery and lying-in ward', 'Ultrasound', 'ECG']","['Ultrasound', 'ECG', 'Well-equipped standard laboratory']","['Emergency services operate 24/7', 'In-Vitro Fertilization (IVF) Unit', 'Departments include Medical & Emergency; Surgery; Cosmetic & Reconstructive Surgery; Paediatrics; Dentistry; Ophthalmology; Fertility & IVF Center; Gynaeco-Obstetric; Clinical Laboratory']",True,Facility claims to be a large medical center/hospital but provides no evidence of critical infrastructure (Oxygen/Power).,bd6191ea-b7b2-41a8-b50e-13696efdc4df
Anfoega Catholic Hospital,internalMedicine,[],[],[],True,Facility claims to be a large medical center/hospital but provides no evidence of critical infrastructure (Oxygen/Power).,1ea0dfd7-a401-4458-8bc4-d6323f303a47
Angela Catholic Clinic,internalMedicine,[],[],[],False,,79bef83e-1410-4705-902c-96650a4c10b3
Anhwiaso Health Centre,internalMedicine,[],[],['Government-owned health centre'],True,Facility claims to be a large medical center/hospital but provides no evidence of critical infrastructure (Oxygen/Power).,476fb748-91bf-42a8-b9fa-b48922a38c71
Ankaful Leprosy & General Hospital,generalSurgery,['Antenatal Care (ANC)'],[],"['Specializes in leprosy and other skin conditions', 'Is a general hospital in Ankaful, Ghana', 'Has an Antenatal Care (ANC) unit']",True,Facility claims to be a large medical center/hospital but provides no evidence of critical infrastructure (Oxygen/Power).,50105169-0025-49f2-8ff3-ee38e3c82ba0
Ankaful Psychiatric Hospital,internalMedicine,[],[],[],True,Facility claims to be a large medical center/hospital but provides no evidence of critical infrastructure (Oxygen/Power).,73043d14-e847-4dee-8e36-ebbab4a9c625
Anthon Memorial Hospital,internalMedicine,[],[],[],True,Facility claims to be a large medical center/hospital but provides no evidence of critical infrastructure (Oxygen/Power).,bf6282b9-e240-4685-92de-c39fa32e5e61
Anthon Memorial Hospital,internalMedicine,[],[],[],True,Facility claims to be a large medical center/hospital but provides no evidence of critical infrastructure (Oxygen/Power).,dbf058d2-1f99-43ca-9a87-c9f913c94d31
Anwiam Hospital,internalMedicine,"['Provides 24/7 emergency care', 'Provides General Medical Services', 'Provides Internal Medicine', 'Provides Surgery', 'Provides Obstetrics and Gynecology', 'Provides Psychiatry', 'Provides Pain Medicine', 'Provides on-site laboratory and medical imaging services including Full blood count, ECG and Ultrasound']",[],"['Provides 24/7 emergency care', 'Provides General Medical Services', 'Provides Internal Medicine', 'Provides Surgery', 'Provides Obstetrics and Gynecology', 'Provides Psychiatry', 'Provides Pain Medicine', 'Provides on-site laboratory and medical imaging services including Full blood count, ECG and Ultrasound']",True,Facility claims to be a large medical center/hospital but provides no evidence of critical infrastructure (Oxygen/Power).,90e59dee-41d0-4c89-8a48-c7e61a51595c
Anyaa Polyclinic,familyMedicine,[],[],[],False,,ab775439-0e3b-41cb-9326-0b56570fb746
Anyinasuso Maternity Home,gynecologyAndObstetrics,[],[],[],False,,f39dfa4e-8dd2-4d3a-bab4-df7c300da274
Anyinasusu SDA Centre,familyMedicine,[],[],[],True,Facility claims to be a large medical center/hospital but provides no evidence of critical infrastructure (Oxygen/Power).,be1f2eae-dfd4-45b9-a7ab-b143c88d2769
"Apatrapa Hospital, Tepa, Ghana",internalMedicine,"['Laboratory reports', 'ultrasound results', 'ECG results']",[],"['ICU', 'NICU', 'Trauma']",True,Facility claims to be a large medical center/hospital but provides no evidence of critical infrastructure (Oxygen/Power).,5bdf28f6-ad85-48b5-a08e-900626d424dc
APOWA HEALTH CENTRE,generalSurgery,[],[],[],True,Facility claims to be a large medical center/hospital but provides no evidence of critical infrastructure (Oxygen/Power).,2b18554c-000c-405e-ad6e-08fc3de06d60
Ares Centre of Excellence - Ghana,internalMedicine,[],[],"['Functions as a specialist referral hospital and medical logistics services provider', 'Operates in Ghana at the International Maritime Hospital, Tema', 'Headquartered in Romania with partnerships in thirteen cities']",True,Facility claims to be a large medical center/hospital but provides no evidence of critical infrastructure (Oxygen/Power).,dc75beac-1f27-4992-b1f2-85b2d5de7b50
Arthurs Clinic & Prostate Center,generalSurgery,[],[],[],False,,ed10f57a-b4d1-4a26-94cb-b8736b2469c7
Asafo Agyei Hospital Daban,internalMedicine,[],[],[],True,Facility claims to be a large medical center/hospital but provides no evidence of critical infrastructure (Oxygen/Power).,057db864-913a-4f4d-9e94-980e8358349e
Asafo Boakye Specialist Hospital,internalMedicine,[],[],['Open 24 hours a day'],True,Facility claims to be a large medical center/hospital but provides no evidence of critical infrastructure (Oxygen/Power).,e6cab238-6073-4a02-b5f8-5582e5607878
Asamang Seventh-day Adventist Hospital,internalMedicine,[],[],[],True,Facility claims to be a large medical center/hospital but provides no evidence of critical infrastructure (Oxygen/Power).,64917cc9-b57b-4830-89d5-1d3f0eb025e6
Asawinso Seventh-day Adventist Clinic,familyMedicine,[],[],[],False,,61e1a975-b9cc-4c76-a0d6-ec46cc9d6980
Ashaiman - MDC,internalMedicine,[],[],['Ashaiman - MDC operates as a Medical Diagnostic Center in Ghana'],False,,27540163-2908-4229-9b57-f7f0b18d933a
Asokore RCH,internalMedicine,[],[],[],False,,068004d3-266b-4db0-b46e-685cb5929228
Asuofua Gov. Health Centre,internalMedicine,[],[],[],True,Facility claims to be a large medical center/hospital but provides no evidence of critical infrastructure (Oxygen/Power).,3338ada9-ca84-4adb-844e-30e210a46694
ATEBUBU DISTRICT HOSPITAL,generalSurgery,[],[],[],True,Facility claims to be a large medical center/hospital but provides no evidence of critical infrastructure (Oxygen/Power).,1e1990d6-c82b-4a96-b703-131c9b7370d4
Atebubu Government Hospital,internalMedicine,[],[],[],True,Facility claims to be a large medical center/hospital but provides no evidence of critical infrastructure (Oxygen/Power).,d7405388-0fab-4949-8f88-51399c875352
Ateiku Christian Hospital,internalMedicine,[],[],[],True,Facility claims to be a large medical center/hospital but provides no evidence of critical infrastructure (Oxygen/Power).,220eef40-1e00-470b-ad51-22eadb599653
Atlantic Eye Clinic - ICare,ophthalmology,"['Daily Eye Consultations and Treatments', 'Glaucoma Screening', 'Eye Surgeries', 'Refraction']",[],"['Staff includes ophthalmologists, optometrists, and opticians']",False,,258091c5-8bf0-46a5-a83b-3306e9cc6df1
Avril Clinic,familyMedicine,[],[],[],False,,7caf1c61-6631-4a7a-918b-f26bf226509f
Awuradze A Maternity Home,gynecologyAndObstetrics,[],[],[],False,,36b44000-d149-4e59-8197-dcf124df0da9
Awuss Health,internalMedicine,[],[],[],False,,202eceb4-220f-4872-adfb-d3a1a896ea16
Axim Government Hospital,familyMedicine,[],[],"['Operates as a government primary hospital', 'NHIS accredited']",True,Facility claims to be a large medical center/hospital but provides no evidence of critical infrastructure (Oxygen/Power).,4ed43bf8-b732-48a0-bdd7-4177c4380e1b
Ayifua Clinic,familyMedicine,[],[],[],False,,34b21be9-5a75-4a4b-8534-82b183625647
Azara Tampulimah Herbal Clinic,familyMedicine,[],[],[],False,,267201ca-e925-4d64-b13e-0036bb32b20b
Azimbe Hospital,internalMedicine,[],[],[],True,Facility claims to be a large medical center/hospital but provides no evidence of critical infrastructure (Oxygen/Power).,3388b9e2-fe11-4797-83b0-79253a284645
